City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nanyang,32.9947,112.5328,22.43,37,99,3.26,CN,1681269501
1,severo-kurilsk,50.6789,156.125,-0.4,71,85,4.82,RU,1681269501
2,puerto ayora,-0.7393,-90.3518,26.42,89,61,0.45,EC,1681269501
3,isiro,2.7739,27.616,18.73,99,100,1.32,CD,1681269502
4,waipawa,-41.4122,175.5153,17.92,59,66,3.28,NZ,1681269503
5,albany,42.6001,-73.9662,18.27,45,100,6.92,US,1681269325
6,hermanus,-34.4187,19.2345,13.22,74,98,3.51,ZA,1681269504
7,aykhal,66.0,111.5,-8.54,88,100,16.3,RU,1681269504
8,mersin,36.862,34.6509,11.33,86,100,2.63,TR,1681269505
9,mangaratiba,-22.9597,-44.0406,21.52,86,9,1.92,BR,1681269505
10,provideniya,64.3833,-173.3,-16.94,60,0,6.0,RU,1681269506
11,kavaratti,10.5669,72.642,28.72,74,16,3.33,IN,1681269506
12,garowe,8.4054,48.4845,23.16,88,99,4.16,SO,1681269506
13,wukari,7.85,9.7833,26.22,66,100,1.71,NG,1681269507
14,suileng,47.25,127.0833,5.03,40,73,7.06,CN,1681269507
15,punta arenas,-53.15,-70.9167,2.47,69,3,5.37,CL,1681269507
16,georgetown,5.4112,100.3354,31.96,74,20,1.03,MY,1681269001
17,leningradskiy,69.3833,178.4167,-16.07,89,97,4.62,RU,1681269507
18,fairbanks,64.8378,-147.7164,-8.0,75,100,2.06,US,1681269207
19,vao,-22.6667,167.4833,24.01,80,24,2.93,NC,1681269508
20,saint-georges,12.0564,-61.7485,25.82,78,20,7.2,GD,1681269508
21,alofi,-19.0595,-169.9187,26.63,77,18,8.62,NU,1681269508
22,broome,42.2506,-75.833,17.0,44,100,3.13,US,1681269508
23,hithadhoo,-0.6,73.0833,28.1,69,11,0.58,MV,1681269509
24,hobart,-42.8794,147.3294,16.82,88,75,3.6,AU,1681269440
25,mataura,-46.1927,168.8643,11.38,96,100,2.15,NZ,1681269510
26,constitucion,-35.3333,-72.4167,13.18,95,96,2.84,CL,1681269357
27,kaitangata,-46.2817,169.8464,11.95,96,100,3.99,NZ,1681269511
28,beitbridge,-22.2167,30.0,18.64,84,25,6.22,ZW,1681269512
29,mto wa mbu,-3.35,35.85,19.61,88,83,0.64,TZ,1681269512
30,ushuaia,-54.8,-68.3,2.81,70,75,8.23,AR,1681269513
31,rikitea,-23.1203,-134.9692,25.0,70,100,3.77,PF,1681269513
32,jamestown,42.097,-79.2353,16.64,52,100,6.79,US,1681269269
33,busselton,-33.65,115.3333,21.23,62,72,7.3,AU,1681269513
34,roald,62.5833,6.1333,8.2,87,100,5.14,NO,1681269514
35,rio grande,-32.035,-52.0986,21.54,79,47,3.35,BR,1681269514
36,bathsheba,13.2167,-59.5167,26.34,73,40,7.72,BB,1681269515
37,san patricio,28.017,-97.5169,21.02,77,1,3.39,US,1681269516
38,cabo san lucas,22.8909,-109.9124,27.61,38,0,7.72,MX,1681269516
39,suclayin,15.7568,121.5503,31.44,54,98,2.07,PH,1681269516
40,hamilton,39.1834,-84.5333,16.6,58,63,2.51,US,1681268750
41,shingu,33.7333,135.9833,20.94,63,100,5.13,JP,1681269516
42,vaini,-21.2,-175.2,26.89,73,100,7.06,TO,1681269518
43,tasiilaq,65.6145,-37.6368,1.09,97,100,0.27,GL,1681269518
44,melo,-32.3667,-54.1833,20.28,53,81,0.91,UY,1681269518
45,qaanaaq,77.484,-69.3632,-22.85,71,0,3.14,GL,1681269518
46,junction city,39.0286,-96.8314,20.95,47,0,5.66,US,1681269518
47,novozybkov,52.5396,31.9275,9.2,69,100,4.69,RU,1681269518
48,lebu,-37.6167,-73.65,13.04,97,94,2.45,CL,1681269438
49,puerto ayacucho,5.6639,-67.6236,25.22,83,100,1.28,VE,1681269518
50,hasaki,35.7333,140.8333,25.16,73,100,13.75,JP,1681269519
51,beni suef,29.0731,31.0979,13.27,58,6,3.3,EG,1681269520
52,saint-joseph,-21.3667,55.6167,24.15,80,0,2.13,RE,1681269520
53,aguimes,27.9054,-15.4461,20.92,82,100,7.2,ES,1681269521
54,cape town,-33.9258,18.4232,15.77,78,0,1.03,ZA,1681269323
55,gladstone,-23.85,151.25,33.21,27,14,3.09,AU,1681269521
